"Issuer Company","Open Date","Close Date","Listing Date","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"CMS Info Systems Limited IPO","Dec 21, 2021","Dec 23, 2021","Dec 31, 2021","216","1,100.00","69","BSE, NSE",""
"Supriya Lifescience Limited IPO","Dec 16, 2021","Dec 20, 2021","Dec 28, 2021","274","700.00","54","BSE, NSE",""
"HP Adhesives Limited IPO","Dec 15, 2021","Dec 17, 2021","Dec 27, 2021","274","125.96","50","BSE, NSE",""
"Data Patterns (India) Limited IPO","Dec 14, 2021","Dec 16, 2021","Dec 24, 2021","585","588.22","25","BSE, NSE",""
"Medplus Health Services Limited IPO","Dec 13, 2021","Dec 15, 2021","Dec 23, 2021","796","1,398.30","18","BSE, NSE",""
"Metro Brands Limited IPO","Dec 10, 2021","Dec 14, 2021","Dec 22, 2021","500","1,367.51","30","BSE, NSE",""
"C.E. Info systems limited IPO","Dec 09, 2021","Dec 13, 2021","Dec 21, 2021","1,033","1,039.61","14","BSE, NSE",""
"Shriram Properties Limited IPO","Dec 08, 2021","Dec 10, 2021","Dec 20, 2021","118","600.00","125","BSE, NSE",""
"Rategain Travel Technologies Limited IPO","Dec 07, 2021","Dec 09, 2021","Dec 17, 2021","425","1,335.74","35","BSE, NSE",""
"Anand Rathi Wealth Limited IPO","Dec 02, 2021","Dec 06, 2021","Dec 14, 2021","550","660.00","27","BSE, NSE",""
"Tega Industries Limited IPO","Dec 01, 2021","Dec 03, 2021","Dec 13, 2021","453","619.23","33","BSE, NSE",""
"Star Health and Allied Insurance Company Ltd IPO","Nov 30, 2021","Dec 02, 2021","Dec 10, 2021","900","7,249.18","16","BSE, NSE",""
"Go Fashion (India) Limited IPO","Nov 17, 2021","Nov 22, 2021","Nov 30, 2021","690","1,013.61","21","BSE, NSE",""
"Tarsons Products Limited IPO","Nov 15, 2021","Nov 17, 2021","Nov 26, 2021","662","1,023.47","22","BSE, NSE",""
"Latent View Analytics Limited IPO","Nov 10, 2021","Nov 12, 2021","Nov 23, 2021","197","600.00","76","BSE, NSE",""
"Sapphire Foods India Limited IPO","Nov 09, 2021","Nov 11, 2021","Nov 18, 2021","1,180","2,073.25","12","BSE, NSE",""
"One 97 Communications Limited IPO","Nov 08, 2021","Nov 10, 2021","Nov 18, 2021","2,150","18,300.00","6","BSE, NSE",""
"Sigachi Industries Limited IPO","Nov 01, 2021","Nov 03, 2021","Nov 15, 2021","163","125.43","90","BSE, NSE",""
"PB Fintech Limited IPO","Nov 01, 2021","Nov 03, 2021","Nov 15, 2021","980","5,625.00","15","BSE, NSE",""
"S.J.S. Enterprises Limited IPO","Nov 01, 2021","Nov 03, 2021","Nov 15, 2021","542","800.00","27","BSE, NSE",""
"Fino Payments Bank Limited IPO","Oct 29, 2021","Nov 02, 2021","Nov 12, 2021","577","1,200.29","25","BSE, NSE",""
"FSN E-Commerce Ventures Limited IPO","Oct 28, 2021","Nov 01, 2021","Nov 10, 2021","1,125","5,351.92","12","BSE, NSE",""
"Aditya Birla Sun Life AMC Ltd IPO","Sep 29, 2021","Oct 01, 2021","Oct 11, 2021","712","2,768.26","20","BSE, NSE",""
"Paras Defence And Space Technologies Limited IPO","Sep 21, 2021","Sep 23, 2021","Oct 01, 2021","175","170.78","85","BSE, NSE",""
"Sansera Engineering Limited IPO","Sep 14, 2021","Sep 16, 2021","Sep 24, 2021","744","1,282.98","20","BSE, NSE",""
"Vijaya Diagnostic Centre Limited IPO","Sep 01, 2021","Sep 03, 2021","Sep 14, 2021","531","1,895.04","28","BSE, NSE",""
"Ami Organics Limited IPO","Sep 01, 2021","Sep 03, 2021","Sep 14, 2021","610","569.64","24","BSE, NSE",""
"Chemplast Sanmar Limited IPO","Aug 10, 2021","Aug 12, 2021","Aug 24, 2021","541","3,850.00","27","BSE, NSE",""
"Aptus Value Housing Finance India Ltd IPO","Aug 10, 2021","Aug 12, 2021","Aug 24, 2021","353","2,780.05","42","BSE, NSE",""
"CarTrade Tech Limited IPO","Aug 09, 2021","Aug 11, 2021","Aug 20, 2021","1,618","2,998.51","9","BSE, NSE",""
"Nuvoco Vistas Corporation Ltd IPO","Aug 09, 2021","Aug 11, 2021","Aug 23, 2021","570","5,000.00","26","BSE, NSE",""
"Krsnaa Diagnostics Limited IPO","Aug 04, 2021","Aug 06, 2021","Aug 16, 2021","954","1,213.33","15","BSE, NSE",""
"Devyani International Limited IPO","Aug 04, 2021","Aug 06, 2021","Aug 16, 2021","90","1,838.00","165","BSE, NSE",""
"Windlas Biotech Limited IPO","Aug 04, 2021","Aug 06, 2021","Aug 16, 2021","460","401.54","30","BSE, NSE",""
"Exxaro Tiles Limited IPO","Aug 04, 2021","Aug 06, 2021","Aug 16, 2021","120","161.09","125","BSE, NSE",""
"Rolex Rings Limited IPO","Jul 28, 2021","Jul 30, 2021","Aug 09, 2021","900","731.00","16","BSE, NSE",""
"Glenmark Life Sciences Limited IPO","Jul 27, 2021","Jul 29, 2021","Aug 06, 2021","720","1,513.60","20","BSE, NSE",""
"Tatva Chintan Pharma Chem Ltd IPO","Jul 16, 2021","Jul 20, 2021","Jul 29, 2021","1,083","500.00","13","BSE, NSE",""
"Zomato Limited IPO","Jul 14, 2021","Jul 16, 2021","Jul 23, 2021","76","9,375.00","195","BSE, NSE",""
"Clean Science and Technology Ltd IPO","Jul 07, 2021","Jul 09, 2021","Jul 19, 2021","900","1,546.62","16","BSE, NSE",""
"G R Infraprojects Limited IPO","Jul 07, 2021","Jul 09, 2021","Jul 19, 2021","837","963.28","17","BSE, NSE",""
"India Pesticides Limited IPO","Jun 23, 2021","Jun 25, 2021","Jul 05, 2021","296","800.00","50","BSE, NSE",""
"Krishna Institute of Medical Sciences Limited IPO","Jun 16, 2021","Jun 18, 2021","Jun 28, 2021","825","2,143.74","18","BSE, NSE",""
"Dodla Dairy Limited IPO","Jun 16, 2021","Jun 18, 2021","Jun 28, 2021","428","520.18","35","BSE, NSE",""
"Sona BLW Precision Forgings Limited IPO","Jun 14, 2021","Jun 16, 2021","Jun 24, 2021","291","5,550.00","51","BSE, NSE",""
"Shyam Metalics and Energy Limited IPO","Jun 14, 2021","Jun 16, 2021","Jun 24, 2021","306","909.00","45","BSE, NSE",""
"POWERGRID Infrastructure Investment Trust InvIT","Apr 29, 2021","May 03, 2021","May 14, 2021","100","7,734.99","1,100","BSE, NSE",""
"Macrotech Developers Limited IPO","Apr 07, 2021","Apr 09, 2021","Apr 19, 2021","486","2,500.00","30","BSE, NSE",""
"Barbeque Nation Hospitality Limited IPO","Mar 24, 2021","Mar 26, 2021","Apr 07, 2021","500","452.87","30","BSE, NSE",""
"Suryoday Small Finance Bank Ltd IPO","Mar 17, 2021","Mar 19, 2021","Mar 26, 2021","305","582.34","49","BSE, NSE",""
"Nazara Technologies Limited IPO","Mar 17, 2021","Mar 19, 2021","Mar 30, 2021","1,101","582.91","13","BSE, NSE",""
"Kalyan Jewellers India Limited IPO","Mar 16, 2021","Mar 18, 2021","Mar 26, 2021","87","1,175.00","172","BSE, NSE",""
"Laxmi Organic Industries Limited IPO","Mar 15, 2021","Mar 17, 2021","Mar 25, 2021","130","600.00","115","BSE, NSE",""
"Craftsman Automation Limited IPO","Mar 15, 2021","Mar 17, 2021","Mar 25, 2021","1,490","823.70","10","BSE, NSE",""
"Anupam Rasayan India Limited IPO","Mar 12, 2021","Mar 16, 2021","Mar 24, 2021","555","760.00","27","BSE, NSE",""
"Easy Trip Planners Limited IPO","Mar 08, 2021","Mar 10, 2021","Mar 19, 2021","187","510.00","80","BSE, NSE",""
"MTAR Technologies Limited IPO","Mar 03, 2021","Mar 05, 2021","Mar 15, 2021","575","596.41","26","BSE, NSE",""
"Heranba Industries Limited IPO","Feb 23, 2021","Feb 25, 2021","Mar 05, 2021","627","625.24","23","BSE, NSE",""
"RailTel Corporation of India Limited IPO","Feb 16, 2021","Feb 18, 2021","Feb 26, 2021","94","819.24","155","BSE, NSE",""
"Nureca Limited IPO","Feb 15, 2021","Feb 17, 2021","Feb 25, 2021","400","100.00","35","BSE, NSE",""
"Brookfield India Real Estate Trust REIT","Feb 03, 2021","Feb 05, 2021","Feb 16, 2021","275","3,800.00","200","BSE, NSE",""
"Stove Kraft Limited IPO","Jan 25, 2021","Jan 28, 2021","Feb 05, 2021","385","412.63","38","BSE, NSE",""
"Home First Finance Company India Ltd. IPO","Jan 21, 2021","Jan 25, 2021","Feb 03, 2021","518","1,153.72","28","BSE, NSE",""
"Indigo Paints Limited IPO","Jan 20, 2021","Jan 22, 2021","Feb 02, 2021","1,490","1,176.00","10","BSE, NSE",""
"Indian Railway Finance Corporation Limited IPO","Jan 18, 2021","Jan 20, 2021","Jan 29, 2021","26","4,633.38","575","BSE, NSE",""